threshold,side,object_id,label,count,object_mesh_vertices,bbox_cx,bbox_cy,bbox_cz,bbox_dx,bbox_dy,bbox_dz
0.05,dsg_fp,5692549928996307023,3,3796,12648,-4.0094,33.4867,1.77838,1.94964,0.894039,1.58731
0.05,dsg_fp,5692549928996306964,2,8622,46662,-8.7101,31.3782,1.19461,0.375754,0.400692,0.38385
0.05,dsg_fp,5692549928996307091,11,901,14073,17.7236,28.1027,1.88196,0.190796,0.505598,0.221751
0.05,dsg_fp,5692549928996306993,3,342,1839,-9.02057,33.0102,1.9725,0.0422907,1.08823,0.164471
0.05,dsg_fp,5692549928996307010,2,508,4920,-3.03349,32.7578,2.15309,0.41996,0.395702,0.160109
0.05,dsg_fp,5692549928996306951,11,3051,7641,-11.9481,22.1127,1.46991,3.27976,1.14113,0.962877
0.05,dsg_fp,5692549928996307022,11,3232,25020,-7.6371,32.5404,1.89946,0.677652,0.72327,0.818271
0.05,dsg_fp,5692549928996306963,3,1702,9066,-14.0705,29.0786,1.41287,0.367245,1.13253,0.8082
0.05,dsg_fp,5692549928996306990,11,1752,9696,-10.1982,32.4558,2.00507,0.748132,0.422485,0.614877
0.05,dsg_fp,5692549928996307108,3,1456,6144,-14.4014,33.1632,2.71295,0.171897,3.79453,1.24999
0.05,dsg_fp,5692549928996306981,3,8,3066,-9.64146,35.9799,1.37339,0.334957,0.881226,0.791069
0.05,dsg_fp,5692549928996306992,2,633,4596,-8.4935,36.1043,1.19035,0.557519,0.359413,0.377785
0.05,dsg_fp,5692549928996307009,11,1054,5487,-4.30144,34.6606,1.69734,0.395032,0.568996,1.23197
0.05,dsg_fp,5692549928996306950,11,84,37926,-15.0474,22.1642,1.4776,0.925138,1.04508,0.941506
0.05,dsg_fp,5692549928996307077,3,3203,10587,13.9161,28.9148,2.19023,0.728414,1.27564,2.41711
0.05,dsg_fp,5692549928996306979,11,7399,22089,-7.51456,32.4595,2.08341,0.282726,0.5257,0.454993
0.05,dsg_fp,5692549928996307106,3,132,9813,-14.1808,29.4713,1.43433,0.680844,2.06134,0.851586
0.05,dsg_fp,5692549928996307021,2,1072,13269,-3.96961,32.9012,2.04057,0.243968,0.211735,0.165173
0.05,dsg_fp,5692549928996306962,2,223,4566,-13.9834,28.7082,1.55112,0.19477,0.578819,0.541378
0.05,dsg_fp,5692549928996307008,11,369,2838,-7.81259,34.5731,1.18037,0.651037,1.52313,0.403812
0.05,dsg_fp,5692549928996306949,11,12344,11052,-14.7766,22.1528,1.46687,1.47824,1.06381,0.976274
0.05,dsg_fp,5692549928996307076,2,975,6747,13.7438,30.9042,2.5151,0.331563,0.567064,1.82495
0.05,dsg_fp,5692549928996306967,3,3009,11577,-14.1511,29.58,1.41991,0.626805,1.9937,0.846116
0.05,dsg_fp,5692549928996307094,2,672,23070,16.5103,22.9982,3.23027,0.909981,0.18416,0.664189
0.05,dsg_fp,5692549928996306968,15,3,10038,-14.407,29.6607,2.68302,0.0644302,0.838121,0.613533
0.05,dsg_fp,5692549928996307095,2,2170,13785,10.2371,27.217,1.39658,0.918478,0.530777,0.793341
0.05,dsg_fp,5692549928996306970,3,923,6318,-14.4315,33.1148,2.7146,0.168248,3.69564,1.20644
0.05,dsg_fp,5692549928996307097,2,231,25602,4.88753,21.8942,1.39474,0.60846,0.609655,0.800155
0.05,dsg_fp,5692549928996306972,3,74,9261,-9.01009,32.6138,1.2215,0.0580101,0.527988,0.397578
0.05,dsg_fp,5692549928996307099,11,1890,3264,2.96321,17.2101,1.54171,0.944152,2.61386,0.854393
0.05,dsg_fp,5692549928996306975,11,998,8400,-10.1276,32.599,1.19307,0.705968,0.699123,0.403539
0.05,dsg_fp,5692549928996306976,2,21,2835,-10.4537,34.358,1.81035,0.367661,0.46888,0.0776227
0.05,dsg_fp,5692549928996307103,3,6942,13311,-8.46851,13.5067,1.5131,2.2058,2.19347,1.11159
0.05,dsg_fp,5692549928996306977,3,3712,6690,-9.73267,33.08,1.29179,1.52184,1.71192,0.566265
