vertex_index,object_id,vertex_label,object_label,distance_m,decision
44651,5692549928996306945,0,3,0.00652663,remove
44652,5692549928996306945,0,3,0.021273,remove
44654,5692549928996306945,0,3,0.0222331,remove
44655,5692549928996306945,0,3,0.00614781,remove
44656,5692549928996306945,0,3,0.00614672,remove
44657,5692549928996306945,0,3,0.0131594,remove
44658,5692549928996306945,0,3,0.0105498,remove
44659,5692549928996306945,0,3,0.0105491,remove
44661,5692549928996306945,0,3,0.0131601,remove
44662,5692549928996306945,0,3,0.01079,remove
44663,5692549928996306945,0,3,0.0105507,remove
44664,5692549928996306945,0,3,0.01055,remove
45078,5692549928996306945,0,3,0.012744,remove
45080,5692549928996306945,0,3,0.0108497,remove
45091,5692549928996306945,0,3,0.0127474,remove
45099,5692549928996306945,0,3,0.00941546,remove
45110,5692549928996306945,0,3,0.00405425,remove
45111,5692549928996306945,0,3,0.0134417,remove
45112,5692549928996306945,0,3,0.00778405,remove
45113,5692549928996306945,0,3,0.00405591,remove
45114,5692549928996306945,0,3,0.0270585,remove
45115,5692549928996306945,0,3,0.0125625,remove
45116,5692549928996306945,0,3,0.00954745,remove
45117,5692549928996306945,0,3,0.00908011,remove
45118,5692549928996306945,0,3,0.0156599,remove
45119,5692549928996306945,0,3,0.0132341,remove
45120,5692549928996306945,0,3,0.0156603,remove
45121,5692549928996306945,0,3,0.011278,remove
45122,5692549928996306945,0,3,0.0159807,remove
45123,5692549928996306945,0,3,0.0117914,remove
45125,5692549928996306945,0,3,0.00694023,remove
45126,5692549928996306945,0,3,0.0156608,remove
45127,5692549928996306945,0,3,0.0156612,remove
45128,5692549928996306945,0,3,0.0159816,remove
45130,5692549928996306945,0,3,0.0238615,remove
45131,5692549928996306945,0,3,0.0125633,remove
45132,5692549928996306945,0,3,0.0134383,remove
45133,5692549928996306945,0,3,0.00693926,remove
45134,5692549928996306945,0,3,0.0238634,remove
45135,5692549928996306945,0,3,0.0126178,remove
45137,5692549928996306945,0,3,0.0160473,remove
45138,5692549928996306945,0,3,0.0178564,remove
45139,5692549928996306945,0,3,0.0180627,remove
45140,5692549928996306945,0,3,0.0126142,remove
45141,5692549928996306945,0,3,0.029518,remove
45142,5692549928996306945,0,3,0.0112774,remove
45143,5692549928996306945,0,3,0.0280999,remove
45145,5692549928996306945,0,3,0.0251542,remove
45146,5692549928996306945,0,3,0.0170744,remove
